pop,dos,id,draw,blocked,p,q
1,5,33,1.9,1,44,41
1,10,33,1.9,1,43,41
1,0,14,62.6,0,43,43
1,1,14,62.6,0,43,43
1,5,14,62.6,0,44,43
1,10,14,62.6,0,43,43
1,0,196,30.7,0,72,-107
1,1,196,30.7,0,67,-107
1,5,196,30.7,0,61,-107
1,10,196,30.7,0,64,-107
1,0,116,73.3,0,72,41
1,1,116,73.3,0,67,41
1,5,116,73.3,0,61,41
1,10,116,73.3,0,64,41
1,0,64,33.0,0,43,42
1,1,64,33.0,0,43,42
1,5,64,33.0,0,44,39
1,10,64,33.0,0,43,42
1,0,177,93.7,0,72,39
1,1,177,93.7,0,67,39
1,5,177,93.7,0,61,41
1,10,177,93.7,0,64,41
1,0,98,75.4,0,43,-152
1,1,98,75.4,0,43,-152
1,5,98,75.4,0,44,-152
1,10,98,75.4,0,43,-152
1,0,165,82.4,0,72,32
1,1,165,82.4,0,67,33
1,5,165,82.4,0,61,33
1,10,165,82.4,0,64,33
1,0,12,11.2,0,43,40
1,1,12,11.2,0,43,40
1,5,12,11.2,0,44,40
1,10,12,11.2,0,43,40
1,0,174,31.9,0,72,31
1,1,174,31.9,0,67,31
1,5,174,31.9,0,61,31
1,10,174,31.9,0,64,31
1,0,131,16.4,0,72,38
1,1,131,16.4,0,67,38
1,5,131,16.4,0,61,38
1,10,131,16.4,0,64,38
1,0,161,11.9,0,72,42
1,1,161,11.9,0,67,42
1,5,161,11.9,0,61,42
1,10,161,11.9,0,64,42
1,0,32,46.5,0,43,42
1,1,32,46.5,0,43,42
1,5,32,46.5,0,44,42
1,10,32,46.5,0,43,42
1,0,94,60.4,0,43,-97
1,1,94,60.4,0,43,-97
1,5,94,60.4,0,44,-97
1,10,94,60.4,0,43,-97
1,0,86,48.4,0,43,-176
1,1,86,48.4,0,43,-176
1,5,86,48.4,0,44,-176
1,10,86,48.4,0,43,-176
1,0,24,22.2,0,43,39
1,1,24,22.2,0,43,39
1,5,24,22.2,0,44,39
1,10,24,22.2,0,43,39
1,0,38,74.8,0,43,40
1,1,38,74.8,0,43,40
1,5,38,74.8,0,44,40
1,10,38,74.8,0,43,40
1,0,82,21.0,0,43,-121
1,1,82,21.0,0,43,-121
1,5,82,21.0,0,44,-121
1,10,82,21.0,0,43,-121
1,0,54,93.2,0,43,39
1,1,54,93.2,0,43,39
1,5,54,93.2,0,44,39
1,10,54,93.2,0,43,39
1,0,186,15.4,0,72,43
1,1,186,15.4,0,67,43
1,5,186,15.4,0,61,43
1,10,186,15.4,0,64,43
1,0,194,41.9,0,72,-111
1,1,194,41.9,0,67,-111
1,5,194,41.9,0,61,-111
1,10,194,41.9,0,64,-111
1,0,171,59.2,0,72,38
1,1,171,59.2,0,67,38
1,5,171,59.2,0,61,41
1,10,171,59.2,0,64,41
1,0,125,92.1,0,72,33
1,1,125,92.1,0,67,33
1,5,125,92.1,0,61,35
1,10,125,92.1,0,64,35
1,0,138,2.3,0,72,31
1,1,138,2.3,0,67,33
1,5,138,2.3,1,61,33
1,10,138,2.3,1,64,33
1,0,26,18.3,0,43,44
1,1,26,18.3,0,43,44
1,5,26,18.3,0,44,44
1,10,26,18.3,0,43,44
1,0,170,4.9,0,72,37
1,1,170,4.9,0,67,37
1,5,170,4.9,1,61,40
1,10,170,4.9,1,64,40
1,0,45,67.3,0,43,40
1,1,45,67.3,0,43,40
1,5,45,67.3,0,44,40
1,10,45,67.3,0,43,40
1,0,37,88.3,0,43,36
1,1,37,88.3,0,43,36
1,5,37,88.3,0,44,36
1,10,37,88.3,0,43,36
1,0,115,74.7,0,72,35
1,1,115,74.7,0,67,35
1,5,115,74.7,0,61,35
1,10,115,74.7,0,64,35
1,0,67,16.4,0,43,-109
1,1,67,16.4,0,43,-109
1,5,67,16.4,0,44,-109
1,10,67,16.4,0,43,-109
1,0,181,72.3,0,72,42
1,1,181,72.3,0,67,42
1,5,181,72.3,0,61,42
1,10,181,72.3,0,64,42
1,0,90,52.5,0,43,-137
1,1,90,52.5,0,43,-137
1,5,90,52.5,0,44,-137
1,10,90,52.5,0,43,-137
1,0,58,88.4,0,43,38
1,1,58,88.4,0,43,38
1,5,58,88.4,0,44,38
1,10,58,88.4,0,43,38
1,0,134,71.9,0,72,39
1,1,134,71.9,0,67,39
1,5,134,71.9,0,61,39
1,10,134,71.9,0,64,39
1,0,28,90.5,0,43,39
1,1,28,90.5,0,43,39
1,5,28,90.5,0,44,39
1,10,28,90.5,0,43,39
1,0,73,16.7,0,43,-150
1,1,73,16.7,0,43,-150
1,5,73,16.7,0,44,-150
1,10,73,16.7,0,43,-150
1,0,142,67.0,0,72,35
1,1,142,67.0,0,67,35
1,5,142,67.0,0,61,39
1,10,142,67.0,0,64,39
1,0,179,66.3,0,72,39
1,1,179,66.3,0,67,39
1,5,179,66.3,0,61,39
1,10,179,66.3,0,64,39
1,0,53,82.8,0,43,39
1,1,53,82.8,0,43,39
1,5,53,82.8,0,44,39
1,10,53,82.8,0,43,39
1,0,65,85.1,0,43,37
1,1,65,85.1,0,43,37
1,5,65,85.1,0,44,37
1,10,65,85.1,0,43,37
1,0,188,13.4,0,72,31
1,1,188,13.4,0,67,31
1,5,188,13.4,0,61,31
1,10,188,13.4,0,64,31
1,0,35,28.4,0,43,41
1,1,35,28.4,0,43,41
1,5,35,28.4,0,44,41
1,10,35,28.4,0,43,41
1,0,190,99.0,0,72,38
1,1,190,99.0,0,67,38
1,5,190,99.0,0,61,38
1,10,190,99.0,0,64,38
1,0,51,64.9,0,43,42
1,1,51,64.9,0,43,42
1,5,51,64.9,0,44,42
1,10,51,64.9,0,43,42
1,0,34,40.4,0,43,41
1,1,34,40.4,0,43,41
1,5,34,40.4,0,44,41
1,10,34,40.4,0,43,41
1,0,103,19.7,0,72,38
1,1,103,19.7,0,67,38
1,5,103,19.7,0,61,38
1,10,103,19.7,0,64,38
1,0,87,52.5,0,43,-127
1,1,87,52.5,0,43,-127
1,5,87,52.5,0,44,-127
1,10,87,52.5,0,43,-127
1,0,11,44.5,0,43,37
1,1,11,44.5,0,43,37
1,5,11,44.5,0,44,35
1,10,11,44.5,0,43,37
1,0,162,63.7,0,72,37
1,1,162,63.7,0,67,37
1,5,162,63.7,0,61,39
1,10,162,63.7,0,64,37
1,0,81,13.9,0,43,-143
1,1,81,13.9,0,43,-143
1,5,81,13.9,0,44,-143
1,10,81,13.9,0,43,-143
1,0,42,67.2,0,43,36
1,1,42,67.2,0,43,36
1,5,42,67.2,0,44,36
1,10,42,67.2,0,43,36
1,0,117,54.8,0,72,35
1,1,117,54.8,0,67,35
1,5,117,54.8,0,61,37
1,10,117,54.8,0,64,37
1,0,143,82.2,0,72,33
1,1,143,82.2,0,67,39
1,5,143,82.2,0,61,39
1,10,143,82.2,0,64,39
1,0,97,93.1,0,43,-83
1,1,97,93.1,0,43,-83
1,5,97,93.1,0,44,-120
1,10,97,93.1,0,43,-83
1,0,76,3.0,0,43,-109
1,1,76,3.0,0,43,-109
1,5,76,3.0,1,44,-109
1,10,76,3.0,1,43,-109
1,0,88,23.7,0,43,-141
1,1,88,23.7,0,43,-141
1,5,88,23.7,0,44,-141
1,10,88,23.7,0,43,-141
1,0,111,49.9,0,72,37
1,1,111,49.9,0,67,37
1,5,111,49.9,0,61,41
1,10,111,49.9,0,64,37
1,0,77,74.6,0,43,-143
1,1,77,74.6,0,43,-143
1,5,77,74.6,0,44,-143
1,10,77,74.6,0,43,-143
1,0,10,67.7,0,43,41
1,1,10,67.7,0,43,41
1,5,10,67.7,0,44,41
1,10,10,67.7,0,43,41
1,0,119,60.5,0,72,36
1,1,119,60.5,0,67,38
1,5,119,60.5,0,61,38
1,10,119,60.5,0,64,38
1,0,6,53.6,0,43,35
1,1,6,53.6,0,43,35
1,5,6,53.6,0,44,35
1,10,6,53.6,0,43,35
1,0,197,56.3,0,72,-153
