Population,ID,Prob,P,Q
1,181,5,57,40
1,181,10,47,40
1,90,0,50,-127
1,90,1,45,-115
1,90,5,53,-127
1,90,10,43,-115
1,58,0,50,36
1,58,1,45,36
1,58,5,53,36
1,58,10,43,36
1,134,0,54,35
1,134,1,49,35
1,134,5,57,35
1,134,10,47,35
1,28,0,50,40
1,28,1,45,40
1,28,5,53,40
1,28,10,43,40
1,73,0,50,-152
1,73,1,45,-152
1,73,5,53,-152
1,73,10,43,-92
1,142,0,54,38
1,142,1,49,38
1,142,5,57,38
1,142,10,47,38
1,179,0,54,39
1,179,1,49,39
1,179,5,57,39
1,179,10,47,39
1,53,0,50,38
1,53,1,45,38
1,53,10,43,38
1,65,0,50,40
1,65,1,45,40
1,65,5,53,40
1,65,10,43,40
1,188,0,54,40
1,188,1,49,40
1,188,5,57,40
1,188,10,47,40
1,35,0,50,36
1,35,1,45,36
1,35,5,53,36
1,35,10,43,36
1,190,0,54,35
1,190,1,49,37
1,190,5,57,35
1,51,0,50,40
1,51,1,45,40
1,51,5,53,40
1,51,10,43,41
1,34,0,50,39
1,34,1,45,39
1,34,5,53,39
1,34,10,43,39
1,103,0,54,37
1,103,1,49,37
1,103,5,57,37
1,103,10,47,37
1,87,0,50,-139
1,87,1,45,-139
1,87,5,53,-139
1,87,10,43,-139
1,11,0,50,37
1,11,1,45,37
1,11,5,53,35
1,162,0,54,38
1,162,1,49,41
1,162,5,57,38
1,162,10,47,41
1,81,0,50,-113
1,81,1,45,-113
1,81,5,53,-113
1,81,10,43,-86
1,42,0,50,39
1,42,1,45,39
1,42,5,53,39
1,42,10,43,39
1,117,0,54,37
1,117,1,49,37
1,117,5,57,37
1,117,10,47,37
1,143,0,54,40
1,143,1,49,40
1,143,5,57,38
1,143,10,47,40
1,97,0,50,-134
1,97,1,45,-134
1,97,5,53,-134
1,97,10,43,-134
1,76,0,50,-128
1,76,1,45,-98
1,76,5,53,-128
1,76,10,43,-105
1,88,0,50,-155
1,88,1,45,-155
1,88,5,53,-155
1,88,10,43,-155
1,111,0,54,43
1,111,1,49,43
1,111,5,57,43
1,111,10,47,43
1,77,0,50,-246
1,77,1,45,-246
1,77,5,53,-246
1,77,10,43,-246
1,10,0,50,41
1,10,1,45,41
1,10,5,53,39
1,10,10,43,41
1,119,0,54,33
1,119,1,49,36
1,119,5,57,33
1,119,10,47,36
1,6,0,50,39
1,6,1,45,39
1,6,5,53,39
1,6,10,43,39
1,197,0,54,-97
1,197,1,49,-97
1,197,5,57,-97
1,197,10,47,-97
1,105,0,54,38
1,105,1,49,41
1,105,5,57,38
1,105,10,47,41
1,152,0,54,35
1,152,1,49,35
1,152,5,57,33
1,152,10,47,35
1,70,0,50,-112
1,70,1,45,-112
1,70,10,43,-112
1,187,0,54,42
1,187,1,49,42
1,187,5,57,42
1,187,10,47,42
1,60,0,50,40
1,60,1,45,40
1,60,5,53,40
1,60,10,43,40
1,157,0,54,37
1,157,1,49,37
1,157,5,57,35
1,157,10,47,37
1,146,0,54,40
1,146,1,49,41
1,146,5,57,40
1,79,0,50,-100
1,79,1,45,-100
1,79,5,53,-100
1,79,10,43,-98
1,7,0,50,41
1,7,1,45,41
1,7,10,43,41
1,84,0,50,-134
1,84,1,45,-119
1,84,5,53,-134
1,84,10,43,-119
1,56,0,50,41
1,56,1,45,41
1,56,5,53,41
1,56,10,43,41
1,66,0,50,-149
1,66,1,45,-149
1,66,5,53,-149
1,66,10,43,-149
1,169,0,54,36
1,169,1,49,36
1,169,5,57,36
1,169,10,47,36
1,8,0,50,38
1,8,1,45,38
1,8,5,53,38
1,8,10,43,38
1,191,0,54,-107
1,191,1,49,-105
1,191,5,57,-107
1,191,10,47,-105
1,153,0,54,38
1,153,1,49,40
1,153,5,57,38
1,153,10,47,40
1,176,0,54,36
1,176,1,49,36
1,176,5,57,36
1,176,10,47,36
1,4,0,50,41
1,4,1,45,41
1,4,5,53,39
1,4,10,43,41
1,61,0,50,38
1,61,1,45,38
1,61,5,53,38
1,61,10,43,38
1,29,0,50,41
1,29,1,45,41
1,29,5,53,41
1,29,10,43,41
1,183,0,54,38
1,183,1,49,38
1,183,5,57,38
1,183,10,47,38
1,200,0,54,-129
1,200,1,49,-129
1,200,5,57,-129
1,200,10,47,-129
1,102,0,54,39
1,102,1,49,39
1,102,5,57,39
1,193,0,54,-148
1,193,1,49,-148
